uid,scheme,id,schemeName,uri
GB-COH|13497271,GB-COH,13497271,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|10867225,GB-COH,10867225,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01228157,GB-COH,01228157,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|02544586,GB-COH,02544586,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|04622996,GB-COH,04622996,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SC387672,GB-COH,SC387672,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SC005098,GB-COH,SC005098,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00149435,GB-COH,00149435,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00432981,GB-COH,00432981,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00234106,GB-COH,00234106,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00654667,GB-COH,00654667,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00273831,GB-COH,00273831,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|03189276,GB-COH,03189276,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13789822,GB-COH,13789822,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|10129878,GB-COH,10129878,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13497268,GB-COH,13497268,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13497266,GB-COH,13497266,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01454944,GB-COH,01454944,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01918796,GB-COH,01918796,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|15604635,GB-COH,15604635,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|09494479,GB-COH,09494479,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00735658,GB-COH,00735658,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01150608,GB-COH,01150608,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00554057,GB-COH,00554057,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00593645,GB-COH,00593645,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SC725848,GB-COH,SC725848,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|11352422,GB-COH,11352422,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01030652,GB-COH,01030652,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|08842913,GB-COH,08842913,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01094398,GB-COH,01094398,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00455852,GB-COH,00455852,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|07540266,GB-COH,07540266,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|15860354,GB-COH,15860354,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00651878,GB-COH,00651878,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00517403,GB-COH,00517403,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|04116177,GB-COH,04116177,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14846392,GB-COH,14846392,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SC000792,GB-COH,SC000792,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|05319369,GB-COH,05319369,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00211858,GB-COH,00211858,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|04145621,GB-COH,04145621,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14829647,GB-COH,14829647,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|12169614,GB-COH,12169614,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13464292,GB-COH,13464292,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00176671,GB-COH,00176671,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|08274009,GB-COH,08274009,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|06034588,GB-COH,06034588,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|15319995,GB-COH,15319995,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13448827,GB-COH,13448827,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00321630,GB-COH,00321630,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|05639411,GB-COH,05639411,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14860361,GB-COH,14860361,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14860118,GB-COH,14860118,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|15635784,GB-COH,15635784,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14860102,GB-COH,14860102,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|13698426,GB-COH,13698426,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00591214,GB-COH,00591214,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00240425,GB-COH,00240425,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|10202089,GB-COH,10202089,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14789320,GB-COH,14789320,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00146560,GB-COH,00146560,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|04942439,GB-COH,04942439,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01858781,GB-COH,01858781,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00567280,GB-COH,00567280,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00190435,GB-COH,00190435,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|12097961,GB-COH,12097961,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01337112,GB-COH,01337112,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00699446,GB-COH,00699446,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|12735096,GB-COH,12735096,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|02565511,GB-COH,02565511,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|11700098,GB-COH,11700098,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|11719854,GB-COH,11719854,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14860376,GB-COH,14860376,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|12536263,GB-COH,12536263,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|12349056,GB-COH,12349056,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|14846404,GB-COH,14846404,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|03604330,GB-COH,03604330,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SL027312,GB-COH,SL027312,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|07152266,GB-COH,07152266,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00026538,GB-COH,00026538,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|SC051614,GB-COH,SC051614,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|01732696,GB-COH,01732696,Companies House,https://www.gov.uk/government/organisations/companies-house
GB-COH|00178353,GB-COH,00178353,Companies House,https://www.gov.uk/government/organisations/companies-house
