start_key,end_key,type,ordinal
XI-LEI-335800KCNMKXQFPJ5Q28,bd24e49a001e2a9bb89460f78652970a,business,1
XI-LEI-6HF6UF5XUDTS104QCS33,90ecf27f973cad2c079ae91ee7770dd1,registered,0
XI-LEI-6HF6UF5XUDTS104QCS33,90ecf27f973cad2c079ae91ee7770dd1,business,1
XI-LEI-5493008CHX3FW76KG908,7170f153811074bc291b3d590860343d,registered,0
XI-LEI-5493008CHX3FW76KG908,7170f153811074bc291b3d590860343d,business,1
XI-LEI-549300AGC7BAI04R6015,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-549300AGC7BAI04R6015,7d012dc9884a02d21730e10e623994c7,business,1
XI-LEI-549300UMEO4KHSEGTG58,c08937954ad90f39e6cb2fdda361d2e1,registered,0
XI-LEI-549300UMEO4KHSEGTG58,2d249ec340b0951fc9b6e94868f8e444,business,1
XI-LEI-549300P807JHWY1X1063,0997d2e29b40ba01e3d1c154b6afe74f,registered,0
XI-LEI-549300P807JHWY1X1063,0997d2e29b40ba01e3d1c154b6afe74f,business,1
XI-LEI-549300KWC0CKSSHUZ327,ae47f429a8056c5c911804a956693e56,registered,0
XI-LEI-549300KWC0CKSSHUZ327,ae47f429a8056c5c911804a956693e56,business,1
XI-LEI-549300LCKI6BWPCJGX28,981faedbd1ea3ef95ae5cb8f77b14313,registered,0
XI-LEI-549300LCKI6BWPCJGX28,981faedbd1ea3ef95ae5cb8f77b14313,business,1
XI-LEI-549300LH9YXVHGYN6V32,8c27efb00e7779c7cba9506aca55e647,registered,0
XI-LEI-549300LH9YXVHGYN6V32,c91476b41745e2bd064b25a8c8c27b0a,business,1
XI-LEI-549300MOF13GKBNRVV53,2fdeca25f47b2ee681702d01d5a0f82c,registered,0
XI-LEI-549300MOF13GKBNRVV53,2fdeca25f47b2ee681702d01d5a0f82c,business,1
XI-LEI-549300NCTSINOQUCE407,18b14d78f3784350b9066d585ee309cf,registered,0
XI-LEI-549300NCTSINOQUCE407,da95bc81630cbcd31644e542ce0144f5,business,1
XI-LEI-549300X4LGFEE4L28815,1de179d61afcdfdc773f9469a8cc3b32,registered,0
XI-LEI-549300X4LGFEE4L28815,1de179d61afcdfdc773f9469a8cc3b32,business,1
XI-LEI-549300XDLZSTRWVYDS48,98d969189736248b61dd3d6121054f52,registered,0
XI-LEI-549300XDLZSTRWVYDS48,aff1ea7e9f2eedb7670edfa58b217dc4,business,1
XI-LEI-549300XJERYFRMOP7O39,701de2c584197310451df94801867998,registered,0
XI-LEI-549300XJERYFRMOP7O39,701de2c584197310451df94801867998,business,1
XI-LEI-549300YF2JG5OMW7UO84,e5b73cd39aa9b0f8df43ecf56434c2db,registered,0
XI-LEI-549300YF2JG5OMW7UO84,e5b73cd39aa9b0f8df43ecf56434c2db,business,1
XI-LEI-549300YG7WG1HR9KGW98,8c27efb00e7779c7cba9506aca55e647,registered,0
XI-LEI-549300YG7WG1HR9KGW98,8c27efb00e7779c7cba9506aca55e647,business,1
XI-LEI-549300YYMNSW7KWZH127,74e274d06708fac677e0795fdabfe25e,registered,0
XI-LEI-549300YYMNSW7KWZH127,193123e9dac61c1ac001cfe3d12beb13,business,1
XI-LEI-549300ZDBUCTRBOPM023,3567c128c05206aa752c8abb66e254e1,registered,0
XI-LEI-549300ZDBUCTRBOPM023,3567c128c05206aa752c8abb66e254e1,business,1
XI-LEI-549300ZNXYELB31FP503,c63bf8b46d4e673b7ba149143fcd1c7b,registered,0
XI-LEI-549300ZNXYELB31FP503,c63bf8b46d4e673b7ba149143fcd1c7b,business,1
XI-LEI-549300ZPID4GQRDWI318,81866a36c3adf7d87213921c5aadd60b,registered,0
XI-LEI-549300ZPID4GQRDWI318,81866a36c3adf7d87213921c5aadd60b,business,1
XI-LEI-25490009TXBCEMN3UI89,64e9abeedda8a753c79520d50eda595a,registered,0
XI-LEI-25490009TXBCEMN3UI89,64e9abeedda8a753c79520d50eda595a,business,1
XI-LEI-54930066OLMECXUIIT95,54103ec1e1a18a09876779418560b028,registered,0
XI-LEI-54930066OLMECXUIIT95,54103ec1e1a18a09876779418560b028,business,1
XI-LEI-5493006US8Z88WK9IL47,11760401432b8b50a403c2c46687e711,registered,0
XI-LEI-5493006US8Z88WK9IL47,1acc7cf708e928ae478f3a99c937fd8c,business,1
XI-LEI-5493008GLWHKEO68CL13,3567c128c05206aa752c8abb66e254e1,registered,0
XI-LEI-5493008GLWHKEO68CL13,3567c128c05206aa752c8abb66e254e1,business,1
XI-LEI-5493008ZYIONF7JPJL24,00cd0ef13e4db22da20435c16ff0440a,registered,0
XI-LEI-5493008ZYIONF7JPJL24,81bf8938fcc3c2752625f850dfea5adb,business,1
XI-LEI-254900SRY9AX0V405Q73,7d74a50fd57e5d19115d93f29aa43724,registered,0
XI-LEI-254900SRY9AX0V405Q73,cd5fbb7a442edb46de483dfe65d623eb,business,1
XI-LEI-549300HJ840SLKBDOS06,21a599d969fbb9e5b67207fc91e4bcb5,registered,0
XI-LEI-549300HJ840SLKBDOS06,5f14b010f91c57b5b21a6a148a3c4fb3,business,1
XI-LEI-254900P4JT9YH6JH0I36,7d74a50fd57e5d19115d93f29aa43724,registered,0
XI-LEI-254900P4JT9YH6JH0I36,17fd8869dba067602e916eb077310a06,business,1
XI-LEI-5493000BRX9RNZNUOV28,e2856ae927ec51e9bca950b27b582586,registered,0
XI-LEI-5493000BRX9RNZNUOV28,e2856ae927ec51e9bca950b27b582586,business,1
XI-LEI-549300MZ0FTF0W5N3I14,102060f3a1aa7fd3d117681b11cab8c5,registered,0
XI-LEI-549300MZ0FTF0W5N3I14,d677779321ce317233a3b7bc618c4b4b,business,1
XI-LEI-549300IW34FEHHXMF980,ba42db3473039d83beb2e106b9a30060,registered,0
XI-LEI-549300IW34FEHHXMF980,ba42db3473039d83beb2e106b9a30060,business,1
