start_key,end_key,statementId,statementDate,recordId,recordType,recordStatus,declarationSubject,publicationDate,bodsVersion,publisherName,publisherUrl,publicationLicense,isComponent,sourceTypes,sourceUrl,interestIndex,bodsInterestType,family,directOrIndirect,beneficialOwnershipOrControl,startDate,details,detailsCategory,detailsValue,shareMinimum,shareMaximum,endDate
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800LX24J8JOPTTD69,09579e9a-fc1e-fb18-d5fd-0efee3a2078a,2025-01-09,XI-LEI-RR-D-213800LX24J8JOPTTD69-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800LX24J8JOPTTD69,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-10-02,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800LX24J8JOPTTD69,2e30072d-8ac4-15f1-a9bb-b3ad92fc94ac,2025-01-09,XI-LEI-RR-U-213800LX24J8JOPTTD69-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800LX24J8JOPTTD69,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-10-02,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800SBT2QLGP2Y4974,79ab206e-186e-a611-192b-bea565a00e5c,2025-01-09,XI-LEI-RR-D-213800SBT2QLGP2Y4974-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800SBT2QLGP2Y4974,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2024-01-30,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800SBT2QLGP2Y4974,23d07564-5b42-ec82-cfc0-783c9b186dab,2025-01-09,XI-LEI-RR-U-213800SBT2QLGP2Y4974-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800SBT2QLGP2Y4974,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2024-01-30,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800YUOGJWKMJMX615,d8662b68-71c9-2757-f38c-510ddca25084,2025-01-09,XI-LEI-RR-D-213800YUOGJWKMJMX615-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800YUOGJWKMJMX615,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800YUOGJWKMJMX615,49330f72-26b8-f4e4-46e1-542fa7bff4c0,2025-01-09,XI-LEI-RR-U-213800YUOGJWKMJMX615-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800YUOGJWKMJMX615,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-20,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800Z9Y4GC3RCHQK87,897011af-b7ee-3b7b-d07a-73de32e9375e,2025-01-09,XI-LEI-RR-D-213800Z9Y4GC3RCHQK87-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800Z9Y4GC3RCHQK87,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-22,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800Z9Y4GC3RCHQK87,9b7cf8cc-359b-64a2-c275-7061c8a58189,2025-01-09,XI-LEI-RR-U-213800Z9Y4GC3RCHQK87-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800Z9Y4GC3RCHQK87,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-12-22,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-549300HRMHKQNIYGN596,c92eaad8-a2a1-c160-6445-7a746babaabc,2024-06-06,XI-LEI-RR-U-549300HRMHKQNIYGN596-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-549300HRMHKQNIYGN596,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2023-08-10,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-549300FNQS5QUAPENQ15,XI-LEI-549300GXQWY7TOWC7Y75,b082355b-5d59-7859-51b1-d7cda307fda1,2024-06-06,XI-LEI-RR-D-549300GXQWY7TOWC7Y75-549300FNQS5QUAPENQ15,relationship,new,XI-LEI-549300GXQWY7TOWC7Y75,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2020-09-15,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
