start_key,end_key,statementId,statementDate,recordId,recordType,recordStatus,declarationSubject,publicationDate,bodsVersion,publisherName,publisherUrl,publicationLicense,isComponent,sourceTypes,sourceUrl,interestIndex,bodsInterestType,family,directOrIndirect,beneficialOwnershipOrControl,shareMinimum,shareMaximum,startDate,endDate,details,detailsCategory,detailsValue
GB-COH-01482455,GB-COH-07440158,20f6b6aa-6bb6-3810-0329-afecb7d20954,2016-04-06,GB-COH-REL-07440158-GUIrl4CIhJUiFMVyTTcSd4y5wyA,relationship,closed,GB-COH-07440158,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,2017-08-11,Relationship Type: ['ownership-of-shares-75-to-100-percent-as-trust'],Relationship Type,['ownership-of-shares-75-to-100-percent-as-trust']
GB-COH-05765286,GB-COH-07111468,cf2599fc-5e9d-a0a7-b7f0-805808708102,2016-04-06,GB-COH-REL-07111468-MMVqZNH-qaWO7bYdkwsHYT92WNc,relationship,closed,GB-COH-07111468,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,50.0,75.0,2016-04-06,2017-10-05,"Relationship Type: ['ownership-of-shares-50-to-75-percent', 'voting-rights-25-to-50-percent']",Relationship Type,"['ownership-of-shares-50-to-75-percent', 'voting-rights-25-to-50-percent']"
GB-COH-01693108,GB-COH-03708142,8cc50a86-6731-6673-cef0-2a5fdac93cd3,2024-01-16,GB-COH-REL-03708142-vgLN1Jp53cdWUY2-r7ggosQeAYQ,relationship,new,GB-COH-03708142,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2024-01-16,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-03708142,GB-COH-00640846,831efb11-307c-5fdf-71c2-d92701c70be2,2016-04-06,GB-COH-REL-00640846-mLfpqiYhcr97a-LvCWSlkVsIKxk,relationship,closed,GB-COH-00640846,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,2017-10-05,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent', 'right-to-appoint-and-remove-directors']"
GB-COH-PER-04071890-pGKAQ3qahMPjsiPIh0PqfjKal44,GB-COH-04071890,15f6213e-fccd-37e6-add8-dc950bc861a2,2023-04-28,GB-COH-REL-04071890-pGKAQ3qahMPjsiPIh0PqfjKal44,relationship,new,GB-COH-04071890,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,true,25.0,50.0,2023-04-28,,"Relationship Type: ['ownership-of-shares-25-to-50-percent-as-trust', 'voting-rights-25-to-50-percent-as-trust']",Relationship Type,"['ownership-of-shares-25-to-50-percent-as-trust', 'voting-rights-25-to-50-percent-as-trust']"
GB-COH-05765286,GB-COH-03403993,39c04b30-c8a1-d258-0658-69ba995487ae,2016-04-06,GB-COH-REL-03403993-J5dC_pG-Zsrbx5xue5nwU7NZpNY,relationship,new,GB-COH-03403993,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent']"
GB-COH-03708142,GB-COH-07918137,94aa74b7-7909-1985-cc5c-73e102057b3a,2016-06-01,GB-COH-REL-07918137-GAuMVScTSGaL43s21WUz40oblCE,relationship,closed,GB-COH-07918137,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-06-01,2019-11-05,Relationship Type: ['ownership-of-shares-75-to-100-percent'],Relationship Type,['ownership-of-shares-75-to-100-percent']
GB-COH-03394910,GB-COH-05418537,10269cbd-bd47-677e-8f14-cb3b84a574a8,2016-04-06,GB-COH-REL-05418537-PT-cRXcFpXzkM6-exBonwLDpTSA,relationship,closed,GB-COH-05418537,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,25.0,50.0,2016-04-06,2018-01-29,"Relationship Type: ['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']",Relationship Type,"['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']"
GB-COH-03394992,GB-COH-05418537,34cd1859-cc9c-4618-0246-d50bc880b92c,2016-04-06,GB-COH-REL-05418537-d6whFGXcmqPG1wP4mSaUFTsxX50,relationship,new,GB-COH-05418537,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,75.0,100.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent']",Relationship Type,"['ownership-of-shares-75-to-100-percent', 'voting-rights-75-to-100-percent']"
GB-COH-03394910,GB-COH-03291550,1b4df40c-5e80-50b3-99a4-334a878a12ce,2016-04-06,GB-COH-REL-03291550-5lYs61Vnk9P5JJEetxipLPZsFI4,relationship,new,GB-COH-03291550,2025-03-05,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://download.companieshouse.gov.uk/en_output.html,0,shareholding,OWNS,unknown,false,25.0,50.0,2016-04-06,,"Relationship Type: ['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']",Relationship Type,"['ownership-of-shares-25-to-50-percent', 'voting-rights-25-to-50-percent']"
