start_key,end_key,ordinal,isPrimary
GB-COH-03462881,GB-COH|03462881,0,true
GB-COH-02482660,GB-COH|02482660,0,true
GB-COH-11078321,GB-COH|11078321,0,true
GB-COH-05743495,GB-COH|05743495,0,true
GB-COH-02243045,GB-COH|02243045,0,true
GB-COH-04877889,GB-COH|04877889,0,true
GB-COH-02797701,GB-COH|02797701,0,true
GB-COH-02571516,GB-COH|02571516,0,true
GB-COH-08212279,GB-COH|08212279,0,true
GB-COH-02644862,GB-COH|02644862,0,true
GB-COH-13555386,GB-COH|13555386,0,true
GB-COH-07158144,GB-COH|07158144,0,true
GB-COH-07158142,GB-COH|07158142,0,true
GB-COH-07158140,GB-COH|07158140,0,true
GB-COH-01668247,GB-COH|01668247,0,true
GB-COH-12095560,GB-COH|12095560,0,true
GB-COH-13130144,GB-COH|13130144,0,true
GB-COH-07068789,GB-COH|07068789,0,true
GB-COH-12332828,GB-COH|12332828,0,true
GB-COH-02147783,GB-COH|02147783,0,true
XI-LEI-213800E11LI1SCETU492,XI-LEI|213800E11LI1SCETU492,0,true
XI-LEI-213800E11LI1SCETU492,GB-COH|05975475,1,false
XI-LEI-213800FF7EXWECXGTO26,XI-LEI|213800FF7EXWECXGTO26,0,true
XI-LEI-724500Q21GMC2GYKCQ29,XI-LEI|724500Q21GMC2GYKCQ29,0,true
XI-LEI-724500Q21GMC2GYKCQ29,NL-KVK|27149802,1,false
XI-LEI-724500NMPK4BBMMMD571,XI-LEI|724500NMPK4BBMMMD571,0,true
XI-LEI-724500NMPK4BBMMMD571,NL-KVK|27154985,1,false
XI-LEI-213800UNJSVQFNUYYW03,XI-LEI|213800UNJSVQFNUYYW03,0,true
XI-LEI-894500EHT892H6TZZN33,XI-LEI|894500EHT892H6TZZN33,0,true
XI-LEI-894500EHT892H6TZZN33,IN-MCA|U40300TN2012PTC101788,1,false
XI-LEI-213800XSK41EPCUHOH45,XI-LEI|213800XSK41EPCUHOH45,0,true
XI-LEI-213800XSK41EPCUHOH45,NL-KVK|34316088,1,false
XI-LEI-335800RKIDK6O4P2KJ98,XI-LEI|335800RKIDK6O4P2KJ98,0,true
XI-LEI-335800RKIDK6O4P2KJ98,IN-MCA|U40109TN1993PTC026223,1,false
XI-LEI-2549006LMVC63GYH6G12,XI-LEI|2549006LMVC63GYH6G12,0,true
