record_id,subject_lei,source_id,name_raw,name_norm,jurisdiction,inc_date,address_norm,lei,nat_reg
3895af4b-c7c7-3c73-00a1-a67c8db10000,213800LH1BZH3DI6G760,,INEOS ACETYLS AMERICAS LIMITED,ineos acetyls americas limited,GB,2000-03-09,"hawkslease, chapel lane, lyndhurst, hampshire",,JUR:GB:03947697
2d17f50f-ebc1-5ff8-1dbe-7021973642df,213800LH1BZH3DI6G760,,INEOS ACETYLS INTERNATIONAL LIMITED,ineos acetyls international limited,GB,2020-07-29,"hawkslease, chapel lane, lyndhurst, hampshire",,JUR:GB:12777775
691d96f6-416f-1906-b881-43eff143c148,213800LH1BZH3DI6G760,,INEOS ACETYLS INVESTMENTS LIMITED,ineos acetyls investments limited,GB,1935-09-02,"hawkslease, chapel lane, lyndhurst, hampshire",,JUR:GB:00304682
c88f19eb-936f-a7f5-45ae-5d9c8165d74b,213800LH1BZH3DI6G760,,INEOS AROMATICS HOLDINGS LIMITED,ineos aromatics holdings limited,GB,2007-04-25,"hawkslease, chapel lane, lyndhurst, england",,JUR:GB:06226615
a87886a1-0ca3-e72c-ee2b-f1d36bd32f8e,213800LH1BZH3DI6G760,,INEOS WORLD-WIDE TECHNICAL SERVICES LIMITED,ineos world wide technical services limited,GB,1952-08-19,"hawkslease, chapel lane, lyndhurst, hampshire",,JUR:GB:00510676
2901d93c-8616-ca03-be0e-92fd1c9eb49b,213800LH1BZH3DI6G760,,Aberdeen City Council,aberdeen city council,GB,,"town house, broad street, aberdeen",,
be1ff1fe-7f83-ac3b-8581-85cef0a7bd20,213800LH1BZH3DI6G760,,PEARL RIVER DELTA INVESTMENTS LIMITED,pearl river delta investments limited,GB,2002-12-20,"chertsey road, sunbury on thames, middlesex",,JUR:GB:04622959
21c86eaa-182f-824f-2a48-ddb82d933b78,213800LH1BZH3DI6G760,,SHAFAG (JABRAYIL) SOLAR LIMITED,shafag jabrayil solar limited,GB,2023-03-06,"chertsey road, sunbury on thames, middlesex",,JUR:GB:14708857
46a9e620-e699-cc96-813c-93a9ef057425,213800LH1BZH3DI6G760,,EXMOOR PROPERTIES GP LIMITED,exmoor properties gp limited,GB,2020-07-10,"chertsey road, sunbury on thames, middlesex",,JUR:GB:12733601
a459c4b0-8ce6-fb1d-f910-493f0434c734,213800LH1BZH3DI6G760,,CHARGEMASTER LIMITED,chargemaster limited,GB,2008-10-09,"breckland, linford wood, milton keynes",,JUR:GB:06720009
